energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.563,105.008,0.833,pop,-5.593,0.139,0.343,"Rauw Alejandro, Bad Bunny",4,0.204,82,https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U,spotify:track:0l0vcZMU7AOeQmUIREoI2U,Cosa Nuestra,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/0l0vcZMU7AOeQmUIREoI2U,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,2024-11-15,1.27e-05,0aX0UXrHG2ceYIxTQcqJdA,0,4,182857,0.528,0l0vcZMU7AOeQmUIREoI2U,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.629,140.101,0.523,hip-hop,-4.058,0.323,0.209,"Bryant Myers, Bad Bunny",4,0.0549,68,https://api.spotify.com/v1/tracks/2SzgK8i6si6ETtu57nTdSn,spotify:track:2SzgK8i6si6ETtu57nTdSn,Un Ratito Mas,Trap,https://api.spotify.com/v1/audio-analysis/2SzgK8i6si6ETtu57nTdSn,2SzgK8i6si6ETtu57nTdSn,Un Ratito Mas,2017-06-05,0.0,0AIoxEYCgmfD856498j2dq,1,1,283121,0.156,2SzgK8i6si6ETtu57nTdSn,trap,audio_features,37i9dQZF1EIhshGKK0SEkb
0.637,92.025,0.811,latin,-4.835,0.118,0.471,Bad Bunny,4,0.0591,72,https://api.spotify.com/v1/tracks/5RubKOuDoPn5Kj5TLVxSxY,spotify:track:5RubKOuDoPn5Kj5TLVxSxY,EL ÚLTIMO TOUR DEL MUNDO,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/5RubKOuDoPn5Kj5TLVxSxY,5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,2020-11-27,0.000572,2d9BCZeAAhiZWPpbX9aPCW,0,10,130014,0.234,5RubKOuDoPn5Kj5TLVxSxY,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.758,97.014,0.86,latin,-5.16,0.344,0.453,Bad Bunny,4,0.0695,69,https://api.spotify.com/v1/tracks/0SqqAgdovOE24BzxIClpjw,spotify:track:0SqqAgdovOE24BzxIClpjw,YHLQMDLG,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/0SqqAgdovOE24BzxIClpjw,0SqqAgdovOE24BzxIClpjw,Yo Perreo Sola,2020-02-29,6.54e-05,5lJqux7orBlA1QzyiBGti1,1,11,172127,0.021,0SqqAgdovOE24BzxIClpjw,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.588,142.004,0.872,latin,-6.276,0.17,0.93,Bad Bunny,4,0.0492,70,https://api.spotify.com/v1/tracks/5kVZxyMY1gfdCLiChsfjn1,spotify:track:5kVZxyMY1gfdCLiChsfjn1,Un Verano Sin Ti,Chill Spanish Vibes,https://api.spotify.com/v1/audio-analysis/5kVZxyMY1gfdCLiChsfjn1,5kVZxyMY1gfdCLiChsfjn1,Yo No Soy Celoso,2022-05-06,0.0,3RQQmkQEvNCY4prGKE6oc5,1,0,230704,0.275,5kVZxyMY1gfdCLiChsfjn1,chill,audio_features,0jqQDMmHIkdbkFQdQTlMEQ
0.703,169.888,0.639,latin,-6.33,0.0865,0.138,"Tainy, Bad Bunny, Julieta Venegas",4,0.0794,70,https://api.spotify.com/v1/tracks/4gzsuuZypVbxs0Af1LSZyB,spotify:track:4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/4gzsuuZypVbxs0Af1LSZyB,4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,1.78e-06,4589OIFRZp41qbsp7TWFCx,0,4,207301,0.0889,4gzsuuZypVbxs0Af1LSZyB,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.86,175.896,0.725,latin,-3.726,0.0674,0.791,"Aventura, Bad Bunny",4,0.182,74,https://api.spotify.com/v1/tracks/2vmfvSoZBFAt9hhRoEByLi,spotify:track:2vmfvSoZBFAt9hhRoEByLi,Volví,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/2vmfvSoZBFAt9hhRoEByLi,2vmfvSoZBFAt9hhRoEByLi,Volví,2021-08-03,0.000284,23zzZlUiABIg4ftZbJ7peK,1,1,230125,0.422,2vmfvSoZBFAt9hhRoEByLi,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.624,176.169,0.61,latin,-4.773,0.243,0.244,"Bad Bunny, Tainy",4,0.309,72,https://api.spotify.com/v1/tracks/2TH65lNHgvLxCKXM3apjxI,spotify:track:2TH65lNHgvLxCKXM3apjxI,Callaita,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/2TH65lNHgvLxCKXM3apjxI,2TH65lNHgvLxCKXM3apjxI,Callaita,2019-05-31,2.12e-06,06S3Qjh4QWLtn6c7CVhYh7,1,2,250534,0.6,2TH65lNHgvLxCKXM3apjxI,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.595,108.02,0.777,latin,-6.79,0.0669,0.546,"Bad Bunny, The Marías",4,0.0375,75,https://api.spotify.com/v1/tracks/0E0DRHf5PfMeor0ZCwB3oT,spotify:track:0E0DRHf5PfMeor0ZCwB3oT,Un Verano Sin Ti,Chill Spanish Vibes,https://api.spotify.com/v1/audio-analysis/0E0DRHf5PfMeor0ZCwB3oT,0E0DRHf5PfMeor0ZCwB3oT,Otro Atardecer,2022-05-06,0.00139,3RQQmkQEvNCY4prGKE6oc5,1,2,244444,0.59,0E0DRHf5PfMeor0ZCwB3oT,chill,audio_features,0jqQDMmHIkdbkFQdQTlMEQ
0.584,115.018,0.849,latin,-8.195,0.492,0.724,Bad Bunny,4,0.115,71,https://api.spotify.com/v1/tracks/0wihfILRNOwE2156Shezc8,spotify:track:0wihfILRNOwE2156Shezc8,Un Verano Sin Ti,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/0wihfILRNOwE2156Shezc8,0wihfILRNOwE2156Shezc8,Agosto,2022-05-06,6.18e-06,3RQQmkQEvNCY4prGKE6oc5,0,1,139041,0.0929,0wihfILRNOwE2156Shezc8,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
